,FIPS,Diabetes,Lungcancer,Smoking,Median_Income,Poverty_Rate,Deep_Poverty,County,UnempRate2019,PctEmpAgriculture,PctEmpMining,PctEmpConstruction,PctEmpManufacturing,TotalPopEst2019,PopDensity2010,Age65AndOlderPct2010,WhiteNonHispanicPct2010,BlackNonHispanicPct2010,AsianNonHispanicPct2010,NativeAmericanNonHispanicPct2010,HispanicPct2010,MultipleRacePct2010,Alcohol,Median_AQI,Unhealthy_days,CO,NO2,Ozone,SO2,PM2.5,PM10,State,Asbestos,Obesity,averageRadonLevel,Strokes
0,1003.0,13.44,66.6,0.264,58320.0,10.35407265,4.046885287,Baldwin,2.8,0.952771556,0.257647937,8.585460243,9.249035135,223234,114.65,16.77,83.5,9.31,0.74,0.63,4.38,1.49,16.6,43,0.0,0.0,0.0,255.76642335766422,0.0,109.23357664233576,0.0,Alabama,48.5,33.7,3.9,42.6
1,1027.0,15.75,100.4,0.292,40845.0,17.94773546,5.096175952,Clay,3.0,2.894879682,0.0,6.260177311,29.92581871,13235,23.07,17.58,80.29,14.7,0.17,0.39,2.86,1.69,15.3,42,0.0,0.0,0.0,0.0,0.0,365.0,0.0,Alabama,48.5,42.3,3.9,51.2
2,1033.0,16.54,70.0,0.277,48065.0,15.46600796,5.661038195,Colbert,3.8,0.994218641,0.183952348,7.152242467,19.44639103,55241,91.84,17.39,79.62,15.99,0.41,0.48,2.01,1.55,14.6,47,0.0,0.0,0.0,117.21126760563381,0.0,247.7887323943662,0.0,Alabama,48.5,40.900000000000006,3.9,48.7
3,1049.0,16.01,60.0,0.294,40440.0,21.08307867,8.178523204,DeKalb,2.8,2.675528864,0.03373933,6.933432302,27.60551975,71513,91.51,13.89,81.56,1.45,0.23,1.22,13.63,2.21,14.6,43,0.0,0.0,0.0,308.9245810055866,0.0,56.07541899441341,0.0,Alabama,48.5,39.9,3.9,50.5
4,1051.0,15.67,69.6,0.262,60891.0,11.50880123,4.251210251,Elmore,2.6,0.944997074,0.298420129,6.667641896,11.47162083,81209,128.22,11.9,74.96,19.94,0.65,0.34,2.68,1.44,16.3,43,0.0,0.0,0.0,365.0,0.0,0.0,0.0,Alabama,48.5,38.099999999999994,3.9,52.8
5,1055.0,16.24,69.0,0.299,44637.0,17.39091824,6.253823535,Etowah,3.4,0.436107855,0.077373974,5.974208675,18.98241501,102268,195.2,15.81,79.28,15.05,0.63,0.36,3.3,1.48,13.6,54,0.0,0.0,0.0,78.4297520661157,0.0,286.5702479338843,0.0,Alabama,48.5,38.85,3.9,49.8
6,1069.0,15.61,58.3,0.266,47580.0,18.23439672,7.47528194,Houston,3.0,1.417496732,0.04732501,5.708297652,9.223869834,105882,175.13,14.45,68.67,25.64,0.79,0.39,2.95,1.73,14.8,48,0.0,0.0,0.0,118.59943977591037,0.0,246.40056022408965,0.0,Alabama,48.5,40.35,3.9,38.4
7,1073.0,16.1,58.7,0.255,53901.0,16.02355726,6.92757737,Jefferson,2.9,0.149511138,0.456402421,4.987311226,9.413627809,658573,592.53,13.13,51.67,41.84,1.38,0.22,3.87,1.1,13.9,59,4.0,1.0,0.0,124.0,4.0,206.0,30.0,Alabama,48.5,38.65,3.9,61.2
8,1079.0,17.25,78.4,0.305,44886.0,18.03193601,7.275669404,Lawrence,3.2,1.92044998,0.104459622,7.834471675,24.94977903,32924,49.72,14.56,76.94,11.41,0.12,5.61,1.67,4.3,12.8,34,0.0,0.0,0.0,0.0,0.0,365.0,0.0,Alabama,48.5,43.35,3.9,47.9
9,1089.0,14.57,56.2,0.232,65449.0,12.47945501,5.512292992,Madison,2.6,0.561302357,0.067831101,4.93188627,11.1062122,372909,417.68,12.21,66.14,23.75,2.44,0.7,4.6,2.47,13.4,44,0.0,0.0,0.0,219.0,0.0,91.5223880597015,54.47761194029851,Alabama,48.5,36.0,3.9,47.0
