State, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
US (SEER+NPCR)(1),0,***,57.30,57.1,57.4,N/A , N/A , N/A,222811,falling,-2.6,-3.4,-1.8
"Union County, Florida(6)",12125,***,199.40,171.1,231.4,N/A ,1,1,39,falling,-1.9,-3.6,-0.1
"Owsley County, Kentucky(7)",21189,***,144.40,105.6,194.6,N/A ,1,91,10,stable,1.3,-1.5,4.1
"Breathitt County, Kentucky(7)",21025,***,143.90,119.2,172.6,N/A ,1,41,26,stable,0.8,-2.3,4.1
"Carroll County, Kentucky(7)",21041,***,137.00,110.1,168.9,N/A ,1,65,19,stable,0.3,-1.5,2.1
"Galax City, Virginia(6)",51640,***,135.10,103,175.1,N/A ,1,18,13,rising,15.8,8,24.2
"Knox County, Kentucky(7)",21121,***,131.70,116.3,148.8,N/A ,1,38,55,stable,-0.1,-1.3,1.2
"Floyd County, Kentucky(7)",21071,***,129.80,115.9,145.1,N/A ,1,34,67,stable,-1.2,-2.3,0
"Perry County, Kentucky(7)",21193,***,128.60,112,147.1,N/A ,1,47,46,stable,-1.5,-3.6,0.6
"Hancock County, Tennessee(6)",47067,***,125.90,94.6,165.2,N/A ,1,63,12,rising,4.3,1.8,6.9
"Mississippi County, Missouri(6)",29133,***,125.50,103.2,151.5,N/A ,1,26,23,stable,2.2,-0.1,4.5
"Clay County, Kentucky(7)",21051,***,122.60,103.5,144.3,N/A ,1,66,31,stable,0.7,-1,2.4
"Whitley County, Kentucky(7)",21235,***,122.00,107.8,137.7,N/A ,1,53,55,stable,0,-1.4,1.4
